sub_id,session,run,trial,value
MET006,2,4,4,0.63489973965802604
MET007,1,1,1,0.66232681405523786
MET007,1,1,2,0.91901304177209298
MET007,1,1,3,0.7248591510266208
MET007,1,1,4,0.80586734919216485
MET007,1,2,1,0.81819487909179478
MET007,1,2,2,0.74993089935447887
MET007,1,2,3,0.78191537278533652
MET007,1,2,4,0.76065672112520655
MET007,1,3,1,0.86927067192043295
MET007,1,3,2,0.74275133817904293
MET007,1,3,3,0.80783173826032506
MET007,1,3,4,0.71727656330538625
MET007,1,4,1,0.78939846203451913
MET007,1,4,2,0.91383985243376775
MET007,1,4,3,0.95558297558093797
MET007,1,4,4,0.79905305031031126
MET008,1,1,1,0.7517475555032459
MET008,1,1,2,0.84537669902764556
MET008,1,1,3,0.77300812116068318
MET008,1,1,4,0.92437790702373157
MET008,1,2,1,0.84246451508041897
MET008,1,2,2,0.74830609453675612
MET008,1,2,3,0.7349714514346396
MET008,1,2,4,0.73408218913987888
MET008,1,3,1,0.79383783729975843
MET008,1,3,2,0.77253286008962574
MET008,1,3,3,0.71146987453159782
MET008,1,3,4,0.6921612645629035
MET008,1,4,1,0.70834200763980637
MET008,1,4,2,0.63326178635441055
MET008,1,4,3,0.65818346579014975
MET008,1,4,4,0.7110011728572333
MET008,2,1,1,0.67156759057673898
MET008,2,1,2,0.73033184185889721
MET008,2,1,3,0.75314028575968861
MET008,2,1,4,0.88583437786871311
MET008,2,2,1,0.80671261384276838
MET008,2,2,2,0.66662298841356304
MET008,2,2,3,0.87342694037036073
MET008,2,2,4,0.72516785852884924
MET008,2,3,1,0.75087192037988726
MET008,2,3,2,0.7438450800104518
MET008,2,3,3,0.8151652207438721
MET008,2,3,4,0.72124437860558421
MET008,2,4,1,0.70717308182541794
MET008,2,4,2,0.76613361181853001
MET008,2,4,3,0.71813505901369623
MET008,2,4,4,0.73178994293949762
MET009,1,1,1,0.71962645189593577
MET009,1,1,2,0.75991870711656306
MET009,1,1,3,0.79043951627493392
MET009,1,1,4,0.83123854099840333
MET009,1,2,1,0.72157956580177063
MET009,1,2,2,0.59076132637832035
MET009,1,2,3,0.79362244203410692
MET009,1,2,4,0.8529166561616407
MET009,1,3,1,0.82971363639333151
MET009,1,3,2,0.7046020219302308
MET009,1,3,3,0.76781688912739976
MET009,1,3,4,0.84639955950158385
MET009,1,4,1,0.59405431397949615
MET009,1,4,2,0.7005099469787226
MET009,1,4,3,0.61872379069955696
MET009,1,4,4,0.78327686231233884
MET009,2,1,1,0.67865899484700343
MET009,2,1,2,0.61327932720498135
MET009,2,1,3,0.73266291401530448
MET009,2,1,4,0.60699467617822322
MET009,2,2,1,0.74469238048013675
MET009,2,2,2,0.65479639448981031
MET009,2,2,3,0.79075609463875851
MET009,2,2,4,0.78041137983406195
MET009,2,3,1,0.6602441268703656
MET009,2,3,2,0.70748858420488947
MET009,2,3,3,0.80926366347379597
MET009,2,3,4,0.81792958997466181
MET009,2,4,1,0.73837282126340475
MET009,2,4,2,0.62767659634621131
MET009,2,4,3,0.89017352770418923
MET009,2,4,4,0.77803795884919325
MET010,1,1,1,0.68122845713449887
MET010,1,1,2,0.86891745315578561
MET010,1,1,3,0.76588686043432308
MET010,1,1,4,0.71532298408106476
MET010,1,2,1,0.65279229584528531
MET010,1,2,2,0.67027644788850238
MET010,1,2,3,0.79138444519914963
MET010,1,2,4,0.90083535346307364
MET010,1,3,1,0.63529318884339636
MET010,1,3,2,0.76577085233975006
MET010,1,3,3,0.97135756524017025
MET010,1,3,4,0.79344032126264996
MET010,1,4,1,0.82377371978571345
MET010,1,4,2,0.74307560197922784
MET010,1,4,3,0.67564724712053614
MET010,1,4,4,0.90034860414302365
MET011,1,1,1,0.76049612868939687
MET011,1,1,2,0.87451475717192573
MET011,1,1,3,0.93244273591997884
MET011,1,1,4,0.75035069098988627
MET011,1,2,1,0.6933224118018757
MET011,1,2,2,0.68998554470929863
MET011,1,2,3,0.76981243974075897
MET011,1,2,4,0.89548140528362785
MET011,1,3,1,0.82110624928641052
MET011,1,3,2,0.62662200336398888
MET011,1,3,3,0.76824786605852513
MET011,1,3,4,0.80695027665836527
MET011,1,4,1,0.83009729588473535
MET011,1,4,2,0.6178250934049152
MET011,1,4,3,0.79074249518210082
MET011,1,4,4,0.79074249518210082
MET012,1,1,1,0.80268980849478178
MET012,1,1,2,0.72078947805113058
MET012,1,1,3,0.73606007882329161
MET012,1,1,4,0.75740966291214795
MET012,1,2,1,0.84552479379061352
MET012,1,2,2,0.76464835063546055
MET012,1,2,3,0.82230015938887491
MET012,1,2,4,0.72638926013657745
MET012,1,3,1,0.80697175007527011
MET012,1,3,2,0.68076192668763746
MET012,1,3,3,0.78124124697939468
MET012,1,3,4,0.7221006946088192
MET012,1,4,1,0.70599713073282067
MET012,1,4,2,0.80943214166510025
MET012,1,4,3,0.8538321025278115
MET012,1,4,4,0.85142502886999982
MET012,2,1,1,0.74233426627223353
MET012,2,1,2,0.79556687269284132
